Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,1/30/2016,FALSE,FALSE,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC Fight Night - Johnson vs. Bader,1/30/2016,UFC on Fox 18 - Johnson vs. Bader,1/30/2016,UFC Fight Night: Johnson vs. Bader,1/30/2016,
Sunday,1/17/2016,FALSE,FALSE,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night - Dillashaw vs. Cruz,1/17/2016,,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,1/17/2016,
Saturday,1/2/2016,FALSE,FALSE,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195 - Lawler vs Condit,1/2/2016,UFC 195 - Lawler vs. Condit,1/2/2016,UFC 195: Lawler vs Condit,1/2/2016,UFC 195
Saturday,12/19/2015,FALSE,FALSE,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC Fight Night - dos Anjos vs Cowboy 2,12/19/2015,,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,12/19/2015,
Saturday,12/12/2015,FALSE,FALSE,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194 - Aldo vs McGregor,12/12/2015,UFC 194 - Aldo vs. McGregor,12/12/2015,UFC 194: Aldo vs McGregor,12/12/2015,
Friday,12/11/2015,FALSE,FALSE,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter Finale - Team McGregor vs Team Faber,12/11/2015,,12/11/2015,The Ultimate Fighter 22 Finale,12/11/2015,
Thursday,12/10/2015,FALSE,FALSE,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night - Namajunas vs VanZant,12/10/2015,UFC Fight Night 80 - Namajunas vs. VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,
Saturday,11/28/2015,FALSE,FALSE,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night - Henderson vs Masvidal,11/28/2015,,11/28/2015,UFC Fight Night: Henderson vs Masvidal,11/28/2015,
Saturday,11/21/2015,FALSE,FALSE,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,UFC Fight Night - Magny vs Gastelum,11/21/2015,UFC Fight Night 78 - Magny vs. Gastelum,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,11/21/2015,
Saturday,11/14/2015,FALSE,FALSE,UFC 193: Rousey vs. Holm,11/15/2015,UFC 193: Rousey vs. Holm,11/14/2015,UFC 193 - Rousey vs Holm,11/14/2015,,11/14/2015,UFC 193: Rousey vs Holm,11/14/2015,
