Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2016-10-15,False,False,UFC Fight Night: Lamas vs. Penn,10/15/2016,UFC Fight Night: Lamas vs. Penn,10/15/2016,,10/15/2016,,10/15/2016,,10/15/2016,
Saturday,2016-10-08,False,False,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204 - Bisping vs Henderson,10/8/2016,UFC 204 - Bisping vs. Henderson 2,10/8/2016,UFC 204: Bisping vs. Henderson,10/8/2016,UFC 204
Saturday,2016-10-01,False,False,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night - Lineker vs Dodson,10/1/2016,,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night 96
Saturday,2016-09-24,False,False,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night - Cyborg vs Lansberg,9/24/2016,UFC Fight Night 95 - Cyborg vs. Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night 95
Saturday,2016-09-17,False,False,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night - Poirier vs Johnson,9/17/2016,,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night 94
Saturday,2016-09-10,False,False,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203 - Miocic vs. Overeem,9/10/2016,UFC 203 - Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203
Saturday,2016-09-03,False,False,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night - Arlovski vs Barnett,9/3/2016,,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night 93
Saturday,2016-08-27,False,False,UFC on Fox: Maia vs. Condit,8/27/2016,UFC on Fox: Maia vs. Condit,8/27/2016,UFC Fight Night - Maia vs Condit,8/27/2016,UFC on Fox 21 - Maia vs. Condit,8/27/2016,UFC Fight Night: Maia vs. Condit,8/27/2016,UFC on FOX 21
Saturday,2016-08-20,False,False,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202 - Diaz vs McGregor 2,8/20/2016,,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,"UFC 202, results"
Saturday,2016-08-06,False,False,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night - Rodriguez vs Caceres,8/6/2016,UFC Fight Night 92 - Rodriguez vs. Caceres,8/6/2016,UFC Fight Night: Rodriguez vs. Caceres,8/6/2016,UFC Fight Night 92
