Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,3/27/2010,FALSE,FALSE,UFC 111: St-Pierre vs. Hardy,3/27/2010,UFC 111: St-Pierre vs. Hardy,3/27/2010,UFC 111,3/27/2010,UFC 111: St-Pierre vs Hardy,3/27/2010,UFC 111 Weigh-in Results,3/27/2010,UFC 111 - St. Pierre vs. Hardy
Sunday,3/21/2010,FALSE,FALSE,UFC Live 1: Vera vs. Jones,3/21/2010,UFC Live: Vera vs. Jones,3/21/2010,UFC on Versus,3/21/2010,UFC on Versus: Vera vs Jones,3/21/2010,"Dana White Separates Jon Jones, Brandon Vera",3/21/2010,UFC Live 1 - Vera vs. Jones
Saturday,3/6/2010,FALSE,FALSE,WEC 47: Bowles vs. Cruz,3/6/2010,,3/6/2010,,3/6/2010,,3/6/2010,,3/6/2010,WEC 47 - Bowles vs. Cruz
Saturday,2/20/2010,FALSE,FALSE,UFC 110: Nogueira vs. Velasquez,2/21/2010,UFC 110: Nogueira vs. Velasquez,2/20/2010,UFC 110,2/20/2010,UFC 110: Nogueira vs Velasquez,2/20/2010,UFC 110 Weigh-In Results,2/20/2010,UFC 110 - Nogueira vs. Velasquez
Saturday,2/6/2010,FALSE,FALSE,UFC 109: Relentless,2/6/2010,UFC 109: Relentless,2/6/2010,UFC 109,2/6/2010,UFC 109: Relentless,2/6/2010,UFC 109 Weigh-in Results,2/6/2010,UFC 109 - Relentless
Monday,1/11/2010,FALSE,FALSE,UFC Fight Night 20: Maynard vs. Diaz,1/11/2010,UFC Fight Night 20 !UFC Fight Night: Maynard vs. Diaz,1/11/2010,UFC Fight Night,1/11/2010,UFC Fight Night: Maynard vs Diaz,1/11/2010,UFC Fight Night 20 Weigh-In Results,1/11/2010,UFC Fight Night 20 - Maynard vs. Diaz
Saturday,1/2/2010,FALSE,FALSE,UFC 108: Evans vs. Silva,1/2/2010,UFC 108: Evans vs. Silva,1/2/2010,UFC 108,1/2/2010,UFC 108: Evans vs Silva,1/2/2010,UFC 108 Weigh-In Results: Paul Daley Comes In Over,1/2/2010,UFC 108 - Evans vs. Silva
Saturday,12/19/2009,FALSE,FALSE,WEC 45: Cerrone vs. Ratcliff,12/19/2009,,12/19/2009,,12/19/2009,,12/19/2009,,12/19/2009,WEC 45 - Cerrone vs. Ratcliff
Saturday,12/12/2009,FALSE,FALSE,UFC 107: Penn vs. Sanchez,12/12/2009,UFC 107: Penn vs. Sanchez,12/12/2009,UFC 107,12/12/2009,UFC 107: Penn vs Sanchez,12/12/2009,,12/12/2009,UFC 107 - Penn vs. Sanchez
Saturday,12/5/2009,FALSE,FALSE,Ultimate Fighter 10: Heavyweights Finale,12/5/2009,Ultimate Fighter 10 !The Ultimate Fighter: Heavyweights Finale,12/5/2009,The Ultimate Fighter,12/5/2009,The Ultimate Fighter: Heavyweights Finale,12/5/2009,,12/5/2009,UFC - The Ultimate Fighter 10 Finale
Saturday,11/21/2009,FALSE,FALSE,UFC 106: Ortiz vs. Griffin 2,11/21/2009,UFC 106: Ortiz vs. Griffin 2,11/21/2009,UFC 106,11/21/2009,UFC 106: Ortiz vs Griffin 2,11/21/2009,,11/21/2009,UFC 106 - Ortiz vs. Griffin 2
Saturday,11/14/2009,FALSE,FALSE,UFC 105: Couture vs. Vera,11/14/2009,UFC 105: Couture vs. Vera,11/14/2009,UFC 105,11/14/2009,UFC 105: Couture vs Vera,11/14/2009,,11/14/2009,UFC 105 - Couture vs. Vera
Saturday,10/24/2009,FALSE,FALSE,UFC 104: Machida vs. Shogun,10/24/2009,UFC 104: Machida vs. Shogun,10/24/2009,UFC 104,10/24/2009,UFC 104: Machida vs Shogun,10/24/2009,,10/24/2009,UFC 104 - Machida vs. Shogun
Saturday,10/10/2009,FALSE,FALSE,WEC 43: Cerrone vs. Henderson,10/10/2009,,10/10/2009,,10/10/2009,,10/10/2009,,10/10/2009,WEC 43 - Cerrone vs. Henderson
Saturday,9/19/2009,FALSE,FALSE,UFC 103: Franklin vs. Belfort,9/19/2009,UFC 103: Franklin vs. Belfort,9/19/2009,UFC 103,9/19/2009,UFC 103: Franklin vs Belfort,9/19/2009,,9/19/2009,UFC 103 - Franklin vs. Belfort
Wednesday,9/16/2009,FALSE,FALSE,UFC Fight Night 19: Diaz vs. Guillard,9/16/2009,UFC Fight Night 19 !UFC Fight Night: Diaz vs. Guillard,9/16/2009,UFC Fight Night,9/16/2009,UFC Fight Night: Diaz vs Guillard,9/16/2009,,9/16/2009,UFC Fight Night 19 - Diaz vs. Guillard
Saturday,8/29/2009,FALSE,FALSE,UFC 102: Couture vs. Nogueira,8/29/2009,UFC 102: Couture vs. Nogueira,8/29/2009,UFC 102,8/29/2009,UFC 102: Couture vs Nogueira,8/29/2009,,8/29/2009,UFC 102 - Couture vs. Nogueira
Saturday,8/8/2009,FALSE,FALSE,UFC 101: Declaration,8/8/2009,UFC 101: Declaration,8/8/2009,UFC 101,8/8/2009,UFC 101: Declaration,8/8/2009,,8/8/2009,UFC 101 - Declaration
Saturday,7/11/2009,FALSE,FALSE,UFC 100: Lesnar vs. Mir 2,7/11/2009,UFC 100,7/11/2009,UFC 100,7/11/2009,UFC 100,7/11/2009,,7/11/2009,UFC 100 - Lesnar vs. Mir 2
Saturday,6/20/2009,FALSE,FALSE,Ultimate Fighter 9: United States vs. United Kingdom Finale,6/20/2009,Ultimate Fighter 09 !The Ultimate Fighter: United States vs. United Kingdom Finale,6/20/2009,The Ultimate Fighter,6/20/2009,The Ultimate Fighter: Team US vs Team UK Finale,6/20/2009,,6/20/2009,UFC - The Ultimate Fighter 9 Finale
Saturday,6/13/2009,FALSE,FALSE,UFC 99: The Comeback,6/13/2009,UFC 099 !UFC 99: The Comeback,6/13/2009,UFC 99,6/13/2009,UFC 99: The Comeback,6/13/2009,,6/13/2009,UFC 99 - The Comeback
Sunday,6/7/2009,FALSE,FALSE,WEC 41: Brown vs. Faber 2,6/7/2009,,6/7/2009,,6/7/2009,,6/7/2009,,6/7/2009,WEC 41 - Brown vs. Faber 2
Saturday,5/23/2009,FALSE,FALSE,UFC 98: Evans vs. Machida,5/23/2009,UFC 098 !UFC 98: Evans vs. Machida,5/23/2009,UFC 98,5/23/2009,UFC 98: Evans vs Machida,5/23/2009,,5/23/2009,UFC 98 - Evans vs. Machida
Saturday,4/18/2009,FALSE,FALSE,UFC 97: Redemption,4/18/2009,UFC 097 !UFC 97: Redemption,4/18/2009,UFC 97,4/18/2009,UFC 97: Redemption,4/18/2009,,4/18/2009,UFC 97 - Redemption
Wednesday,4/1/2009,FALSE,FALSE,UFC Fight Night 18: Condit vs. Kampmann,4/1/2009,UFC Fight Night 18 !UFC Fight Night: Condit vs. Kampmann,4/1/2009,UFC Fight Night,4/1/2009,UFC Fight Night: Condit vs Kampmann,4/1/2009,,4/1/2009,UFC Fight Night 18 - Condit vs. Kampmann
Saturday,3/7/2009,FALSE,FALSE,UFC 96: Jackson vs. Jardine,3/7/2009,UFC 096 !UFC 96: Jackson vs. Jardine,3/7/2009,UFC 96,3/7/2009,UFC 96: Jackson vs Jardine,3/7/2009,,3/7/2009,UFC 96 - Jackson vs. Jardine
Saturday,2/21/2009,FALSE,FALSE,UFC 95: Sanchez vs. Stevenson,2/21/2009,UFC 095 !UFC 95: Sanchez vs. Stevenson,2/21/2009,UFC 95,2/21/2009,UFC 95: Sanchez vs Stevenson,2/21/2009,,2/21/2009,UFC 95 - Sanchez vs. Stevenson
Saturday,2/7/2009,FALSE,FALSE,UFC Fight Night 17: Lauzon vs. Stephens,2/7/2009,UFC Fight Night 17 !UFC Fight Night: Lauzon vs. Stephens,2/7/2009,UFC Fight Night,2/7/2009,UFC Fight Night: Lauzon vs Stephens,2/7/2009,,2/7/2009,UFC Fight Night 17 - Lauzon vs. Stephens
Saturday,1/31/2009,FALSE,FALSE,UFC 94: St-Pierre vs. Penn 2,1/31/2009,UFC 094 !UFC 94: St-Pierre vs. Penn 2,1/31/2009,UFC 94,1/31/2009,UFC 94: St-Pierre vs Penn 2,1/31/2009,,1/31/2009,UFC 94 - St. Pierre vs. Penn 2
Saturday,1/17/2009,FALSE,FALSE,UFC 93: Franklin vs. Henderson,1/17/2009,UFC 093 !UFC 93: Franklin vs. Henderson,1/17/2009,UFC 93,1/17/2009,UFC 93: Franklin vs Henderson,1/17/2009,,1/17/2009,UFC 93 - Franklin vs. Henderson
Saturday,12/27/2008,FALSE,FALSE,UFC 92: The Ultimate 2008,12/27/2008,UFC 092 !UFC 92: The Ultimate 2008,12/27/2008,UFC 92,12/27/2008,UFC 92: The Ultimate 2008,12/27/2008,,12/27/2008,UFC 92 - The Ultimate 2008
Saturday,12/13/2008,FALSE,FALSE,Ultimate Fighter 8: Team Nogueira vs. Team Mir Finale,12/13/2008,Ultimate Fighter 08 !The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,12/13/2008,The Ultimate Fighter Finale,12/13/2008,The Ultimate Fighter Finale: Team Nog vs Team Mir,12/13/2008,,12/13/2008,UFC - The Ultimate Fighter 8 Finale
