Event,Date,Division,Weightclass,Fight Number,Fighter,Result,Opponent,Method,Round,Time,Location,Venue,Attendance,Url
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Middleweight,185.0,4,Markus Perez,loss,Eryk Anders,"Decision (unanimous) (30-26, 30-25, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,5,Benito Lopez,win,Albert Morales,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,5,Albert Morales,loss,Benito Lopez,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Women's Flyweight,125.0,6,Alexis Davis,win,Liz Carmouche,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Women's Flyweight,125.0,6,Liz Carmouche,loss,Alexis Davis,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,7,Andre Soukhamthath,win,Luke Sanders,TKO (punches),2,1:06,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,7,Luke Sanders,loss,Andre Soukhamthath,TKO (punches),2,1:06,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,8,Alex Perez,win,Carls John de Tomas,Submission (anaconda choke),2,1:54,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,8,Carls John De Tomas,loss,Alex Perez,Submission (anaconda choke),2,1:54,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,9,Frankie Saenz,win,Merab Dvalishvili,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
