Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
The Ultimate Fighter 26 Finale,2017-12-01,5,Bantamweight,135,Brett Johns,Joe Soto,win,SUB  Other - Lock,1,0:30,1,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,5,Bantamweight,135,Joe Soto,Brett Johns,loss,SUB  Other - Lock,1,0:30,0,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,6,Women's Flyweight,125,Montana De La Rosa,Christina Marks,win,SUB  Armbar,1,2:00,6,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,6,Women's Flyweight,125,Christina Marks,Montana De La Rosa,loss,SUB  Armbar,1,2:00,10,1,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,7,Middleweight,185,Ryan Janes,Andrew Sanchez,win,KO/TKO  Punch,3,0:58,159,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,7,Middleweight,185,Andrew Sanchez,Ryan Janes,loss,KO/TKO  Punch,3,0:58,96,3,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,8,Women's Flyweight,125,Karine Gevorgyan,Rachael Ostovich,loss,SUB  Armbar,1,1:40,2,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,8,Women's Flyweight,125,Rachael Ostovich,Karine Gevorgyan,win,SUB  Armbar,1,1:40,3,1,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,9,Women's Flyweight,125,Ariel Beck,Shana Dobson,loss,KO/TKO  Punch,2,2:53,35,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,9,Women's Flyweight,125,Shana Dobson,Ariel Beck,win,KO/TKO  Punch,2,2:53,34,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
