WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Dennis Siver,28,0,0,1,Lightweight,KO/TKO  Punch,2,2:04,Dennis Siver vs. Naoyuki Kotani,7,Naoyuki Kotani,2007-09-08,UFC 75: Champion vs Champion
loss,Naoyuki Kotani,9,0,2,0,Lightweight,KO/TKO  Punch,2,2:04,Dennis Siver vs. Naoyuki Kotani,7,Dennis Siver,2007-09-08,UFC 75: Champion vs Champion
win,Jess Liaudin,38,0,0,0,Welterweight,KO/TKO  Punches,1,4:10,Jess Liaudin vs. Anthony Torres,8,Anthony Torres,2007-09-08,UFC 75: Champion vs Champion
loss,Anthony Torres,13,0,0,0,Welterweight,KO/TKO  Punches,1,4:10,Jess Liaudin vs. Anthony Torres,8,Jess Liaudin,2007-09-08,UFC 75: Champion vs Champion
win,Randy Couture,63,3,0,1,Heavyweight,KO/TKO  Punches,3,1:37,Randy Couture vs. Gabriel Gonzaga,0,Gabriel Gonzaga,2007-08-25,UFC 74: Respect
loss,Gabriel Gonzaga,11,0,1,0,Heavyweight,KO/TKO  Punches,3,1:37,Randy Couture vs. Gabriel Gonzaga,0,Randy Couture,2007-08-25,UFC 74: Respect
win,Georges St-Pierre,38,2,5,3,Welterweight,U-DEC,3,5:00,Georges St-Pierre vs. Josh Koscheck,1,Josh Koscheck,2007-08-25,UFC 74: Respect
loss,Josh Koscheck,4,1,0,0,Welterweight,U-DEC,3,5:00,Georges St-Pierre vs. Josh Koscheck,1,Georges St-Pierre,2007-08-25,UFC 74: Respect
win,Roger Huerta,26,0,0,5,Lightweight,KO/TKO  Punches,3,1:50,Roger Huerta vs. Alberto Crane,2,Alberto Crane,2007-08-25,UFC 74: Respect
loss,Alberto Crane,4,0,3,3,Lightweight,KO/TKO  Punches,3,1:50,Roger Huerta vs. Alberto Crane,2,Roger Huerta,2007-08-25,UFC 74: Respect
win,Joe Stevenson,42,3,3,0,Lightweight,U-DEC,3,5:00,Joe Stevenson vs. Kurt Pellegrino,3,Kurt Pellegrino,2007-08-25,UFC 74: Respect
loss,Kurt Pellegrino,27,3,1,2,Lightweight,U-DEC,3,5:00,Joe Stevenson vs. Kurt Pellegrino,3,Joe Stevenson,2007-08-25,UFC 74: Respect
win,Patrick Cote,20,0,1,3,Middleweight,KO/TKO  Punches,1,4:45,Patrick Cote vs. Kendall Grove,4,Kendall Grove,2007-08-25,UFC 74: Respect
loss,Kendall Grove,12,0,0,0,Middleweight,KO/TKO  Punches,1,4:45,Patrick Cote vs. Kendall Grove,4,Patrick Cote,2007-08-25,UFC 74: Respect
win,Renato Sobral,60,1,3,1,Light Heavyweight,SUB  Anaconda Choke,2,3:30,Renato Sobral vs. David Heath,5,David Heath,2007-08-25,UFC 74: Respect
loss,David Heath,6,0,0,0,Light Heavyweight,SUB  Anaconda Choke,2,3:30,Renato Sobral vs. David Heath,5,Renato Sobral,2007-08-25,UFC 74: Respect
win,Frank Mir,4,1,1,2,Heavyweight,SUB  Kimura,1,1:17,Frank Mir vs. Antoni Hardonk,6,Antoni Hardonk,2007-08-25,UFC 74: Respect
loss,Antoni Hardonk,1,0,0,0,Heavyweight,SUB  Kimura,1,1:17,Frank Mir vs. Antoni Hardonk,6,Frank Mir,2007-08-25,UFC 74: Respect
win,Thales Leites,10,3,2,1,Middleweight,SUB  Armbar,1,3:47,Thales Leites vs. Ryan Jensen,7,Ryan Jensen,2007-08-25,UFC 74: Respect
loss,Ryan Jensen,11,0,1,0,Middleweight,SUB  Armbar,1,3:47,Thales Leites vs. Ryan Jensen,7,Thales Leites,2007-08-25,UFC 74: Respect
win,Clay Guida,44,0,0,0,Lightweight,S-DEC,3,5:00,Clay Guida vs. Marcus Aurelio,8,Marcus Aurelio,2007-08-25,UFC 74: Respect
loss,Marcus Aurelio,40,0,0,0,Lightweight,S-DEC,3,5:00,Clay Guida vs. Marcus Aurelio,8,Clay Guida,2007-08-25,UFC 74: Respect
win,Kenny Florian,20,3,0,6,Lightweight,KO/TKO  Elbows,1,4:30,Kenny Florian vs. Alvin Robinson,0,Alvin Robinson,2007-07-07,UFC 73: Stacked
loss,Alvin Robinson,6,1,0,0,Lightweight,KO/TKO  Elbows,1,4:30,Kenny Florian vs. Alvin Robinson,0,Kenny Florian,2007-07-07,UFC 73: Stacked
win,Anderson Silva,10,1,0,0,Middleweight,KO/TKO  Punches,1,4:50,Anderson Silva vs. Nate Marquardt,1,Nate Marquardt,2007-07-07,UFC 73: Stacked
loss,Nate Marquardt,3,1,0,1,Middleweight,KO/TKO  Punches,1,4:50,Anderson Silva vs. Nate Marquardt,1,Anderson Silva,2007-07-07,UFC 73: Stacked
draw  draw,Rashad Evans,19,2,0,1,Light Heavyweight,U-DEC,3,5:00,Rashad Evans vs. Tito Ortiz,2,Tito Ortiz,2007-07-07,UFC 73: Stacked
draw  draw,Tito Ortiz,24,3,1,0,Light Heavyweight,U-DEC,3,5:00,Rashad Evans vs. Tito Ortiz,2,Rashad Evans,2007-07-07,UFC 73: Stacked
win,Sean Sherk,35,16,2,20,Lightweight,U-DEC,5,5:00,Sean Sherk vs. Hermes Franca,3,Hermes Franca,2007-07-07,UFC 73: Stacked
loss,Hermes Franca,6,0,3,0,Lightweight,U-DEC,5,5:00,Sean Sherk vs. Hermes Franca,3,Sean Sherk,2007-07-07,UFC 73: Stacked
win,Minotauro Nogueira,55,4,2,7,Heavyweight,U-DEC,3,5:00,Minotauro Nogueira vs. Heath Herring,4,Heath Herring,2007-07-07,UFC 73: Stacked
loss,Heath Herring,31,0,0,0,Heavyweight,U-DEC,3,5:00,Minotauro Nogueira vs. Heath Herring,4,Minotauro Nogueira,2007-07-07,UFC 73: Stacked
win,Stephan Bonnar,2,0,2,2,Light Heavyweight,SUB  Rear Naked Choke,1,2:14,Stephan Bonnar vs. Mike Nickels,5,Mike Nickels,2007-07-07,UFC 73: Stacked
loss,Mike Nickels,2,1,0,0,Light Heavyweight,SUB  Rear Naked Choke,1,2:14,Stephan Bonnar vs. Mike Nickels,5,Stephan Bonnar,2007-07-07,UFC 73: Stacked
win,Jorge Gurgel,67,0,0,0,Lightweight,U-DEC,3,5:00,Jorge Gurgel vs. Diego Saraiva,6,Diego Saraiva,2007-07-07,UFC 73: Stacked
loss,Diego Saraiva,49,0,0,0,Lightweight,U-DEC,3,5:00,Jorge Gurgel vs. Diego Saraiva,6,Jorge Gurgel,2007-07-07,UFC 73: Stacked
win,Chris Lytle,5,1,5,3,Welterweight,SUB  Triangle Choke,1,2:15,Chris Lytle vs. Jason Gilliam,7,Jason Gilliam,2007-07-07,UFC 73: Stacked
loss,Jason Gilliam,3,0,0,0,Welterweight,SUB  Triangle Choke,1,2:15,Chris Lytle vs. Jason Gilliam,7,Chris Lytle,2007-07-07,UFC 73: Stacked
win,Frankie Edgar,31,0,0,2,Lightweight,KO/TKO  Punches,1,4:55,Frankie Edgar vs. Mark Bocek,8,Mark Bocek,2007-07-07,UFC 73: Stacked
loss,Mark Bocek,6,0,0,0,Lightweight,KO/TKO  Punches,1,4:55,Frankie Edgar vs. Mark Bocek,8,Frankie Edgar,2007-07-07,UFC 73: Stacked
win,BJ Penn,23,3,3,7,Lightweight,SUB  Rear Naked Choke,2,3:12,BJ Penn vs. Jens Pulver,0,Jens Pulver,2007-06-23,The Ultimate Fighter 5 Finale
loss,Jens Pulver,6,0,0,0,Lightweight,SUB  Rear Naked Choke,2,3:12,BJ Penn vs. Jens Pulver,0,BJ Penn,2007-06-23,The Ultimate Fighter 5 Finale
win,Nate Diaz,2,0,1,0,Lightweight,SUB  Injury,2,0:20,Nate Diaz vs. Manvel Gamburyan,1,Manvel Gamburyan,2007-06-23,The Ultimate Fighter 5 Finale
loss,Manvel Gamburyan,16,1,1,1,Lightweight,SUB  Injury,2,0:20,Nate Diaz vs. Manvel Gamburyan,1,Nate Diaz,2007-06-23,The Ultimate Fighter 5 Finale
win,Thales Leites,6,2,1,4,Middleweight,SUB  Arm Triangle,1,3:50,Thales Leites vs. Floyd Sword,2,Floyd Sword,2007-06-23,The Ultimate Fighter 5 Finale
loss,Floyd Sword,3,0,0,0,Middleweight,SUB  Arm Triangle,1,3:50,Thales Leites vs. Floyd Sword,2,Thales Leites,2007-06-23,The Ultimate Fighter 5 Finale
win,Roger Huerta,34,0,0,4,Lightweight,KO/TKO  Punches,2,3:30,Roger Huerta vs. Doug Evans,3,Doug Evans,2007-06-23,The Ultimate Fighter 5 Finale
loss,Doug Evans,20,4,0,2,Lightweight,KO/TKO  Punches,2,3:30,Roger Huerta vs. Doug Evans,3,Roger Huerta,2007-06-23,The Ultimate Fighter 5 Finale
win,Joe Lauzon,4,3,6,9,Lightweight,SUB  Triangle Choke,2,2:09,Joe Lauzon vs. Brandon Melendez,4,Brandon Melendez,2007-06-23,The Ultimate Fighter 5 Finale
loss,Brandon Melendez,6,0,0,1,Lightweight,SUB  Triangle Choke,2,2:09,Joe Lauzon vs. Brandon Melendez,4,Joe Lauzon,2007-06-23,The Ultimate Fighter 5 Finale
win,Cole Miller,12,0,0,0,Lightweight,KO/TKO  Kick,1,1:10,Cole Miller vs. Andy Wang,5,Andy Wang,2007-06-23,The Ultimate Fighter 5 Finale
loss,Andy Wang,4,0,0,0,Lightweight,KO/TKO  Kick,1,1:10,Cole Miller vs. Andy Wang,5,Cole Miller,2007-06-23,The Ultimate Fighter 5 Finale
nc  nc,Gray Maynard,20,2,1,6,Lightweight,CNC,2,0:39,Gray Maynard vs. Rob Emerson,6,Rob Emerson,2007-06-23,The Ultimate Fighter 5 Finale
nc  nc,Rob Emerson,3,1,1,0,Lightweight,CNC,2,0:39,Gray Maynard vs. Rob Emerson,6,Gray Maynard,2007-06-23,The Ultimate Fighter 5 Finale
win,Leonard Garcia,4,0,1,4,Lightweight,SUB  Rear Naked Choke,1,4:22,Leonard Garcia vs. Allen Berube,7,Allen Berube,2007-06-23,The Ultimate Fighter 5 Finale
loss,Allen Berube,4,2,1,1,Lightweight,SUB  Rear Naked Choke,1,4:22,Leonard Garcia vs. Allen Berube,7,Leonard Garcia,2007-06-23,The Ultimate Fighter 5 Finale
win,Matt Wiman,21,1,0,2,Lightweight,KO/TKO  Punches,1,2:09,Matt Wiman vs. Brian Geraghty,8,Brian Geraghty,2007-06-23,The Ultimate Fighter 5 Finale
loss,Brian Geraghty,1,0,0,0,Lightweight,KO/TKO  Punches,1,2:09,Matt Wiman vs. Brian Geraghty,8,Matt Wiman,2007-06-23,The Ultimate Fighter 5 Finale
win,Rich Franklin,36,1,0,1,Middleweight,U-DEC,3,5:00,Rich Franklin vs. Yushin Okami,0,Yushin Okami,2007-06-16,UFC 72: Victory
loss,Yushin Okami,17,1,3,2,Middleweight,U-DEC,3,5:00,Rich Franklin vs. Yushin Okami,0,Rich Franklin,2007-06-16,UFC 72: Victory
win,Forrest Griffin,113,0,0,0,Light Heavyweight,U-DEC,3,5:00,Forrest Griffin vs. Hector Ramirez,1,Hector Ramirez,2007-06-16,UFC 72: Victory
loss,Hector Ramirez,20,2,0,1,Light Heavyweight,U-DEC,3,5:00,Forrest Griffin vs. Hector Ramirez,1,Forrest Griffin,2007-06-16,UFC 72: Victory
win,Jason MacDonald,30,2,0,2,Middleweight,KO/TKO  Punches,2,3:18,Jason MacDonald vs. Rory Singer,2,Rory Singer,2007-06-16,UFC 72: Victory
loss,Rory Singer,17,1,1,2,Middleweight,KO/TKO  Punches,2,3:18,Jason MacDonald vs. Rory Singer,2,Jason MacDonald,2007-06-16,UFC 72: Victory
win,Tyson Griffin,50,2,2,0,Lightweight,S-DEC,3,5:00,Tyson Griffin vs. Clay Guida,3,Clay Guida,2007-06-16,UFC 72: Victory
loss,Clay Guida,36,4,2,4,Lightweight,S-DEC,3,5:00,Tyson Griffin vs. Clay Guida,3,Tyson Griffin,2007-06-16,UFC 72: Victory
win,Ed Herman,24,3,2,1,Middleweight,SUB  Rear Naked Choke,2,2:25,Ed Herman vs. Scott Smith,4,Scott Smith,2007-06-16,UFC 72: Victory
loss,Scott Smith,3,0,2,0,Middleweight,SUB  Rear Naked Choke,2,2:25,Ed Herman vs. Scott Smith,4,Ed Herman,2007-06-16,UFC 72: Victory
win,Marcus Davis,9,0,0,0,Welterweight,KO/TKO  Punches,1,1:15,Marcus Davis vs. Jason Tan,5,Jason Tan,2007-06-16,UFC 72: Victory
loss,Jason Tan,6,0,0,0,Welterweight,KO/TKO  Punches,1,1:15,Marcus Davis vs. Jason Tan,5,Marcus Davis,2007-06-16,UFC 72: Victory
win,Eddie Sanchez,41,1,0,4,Heavyweight,KO/TKO  Elbows,2,0:32,Eddie Sanchez vs. Colin Robinson,6,Colin Robinson,2007-06-16,UFC 72: Victory
loss,Colin Robinson,36,1,2,2,Heavyweight,KO/TKO  Elbows,2,0:32,Eddie Sanchez vs. Colin Robinson,6,Eddie Sanchez,2007-06-16,UFC 72: Victory
win,Dustin Hazelett,20,0,1,0,Welterweight,SUB  Anaconda Choke,1,2:50,Dustin Hazelett vs. Stevie Lynch,7,Stevie Lynch,2007-06-16,UFC 72: Victory
loss,Stevie Lynch,7,0,0,0,Welterweight,SUB  Anaconda Choke,1,2:50,Dustin Hazelett vs. Stevie Lynch,7,Dustin Hazelett,2007-06-16,UFC 72: Victory
win,Spencer Fisher,88,0,0,0,Lightweight,U-DEC,3,5:00,Spencer Fisher vs. Sam Stout,0,Sam Stout,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Sam Stout,76,0,0,0,Lightweight,U-DEC,3,5:00,Spencer Fisher vs. Sam Stout,0,Spencer Fisher,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Jon Fitch,18,0,1,1,Welterweight,SUB  Rear Naked Choke,2,1:07,Jon Fitch vs. Roan Carneiro,1,Roan Carneiro,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Roan Carneiro,4,2,1,0,Welterweight,SUB  Rear Naked Choke,2,1:07,Jon Fitch vs. Roan Carneiro,1,Jon Fitch,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Drew McFedries,6,0,0,0,Middleweight,KO/TKO  Punch,1,0:33,Drew McFedries vs. Jordan Radev,2,Jordan Radev,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Jordan Radev,1,0,0,0,Middleweight,KO/TKO  Punch,1,0:33,Drew McFedries vs. Jordan Radev,2,Drew McFedries,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Thiago Tavares,11,2,2,6,Lightweight,SUB  Triangle Choke,2,2:49,Thiago Tavares vs. Jason Black,3,Jason Black,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Jason Black,0,0,2,2,Lightweight,SUB  Triangle Choke,2,2:49,Thiago Tavares vs. Jason Black,3,Thiago Tavares,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Forrest Petz,40,0,0,0,Welterweight,U-DEC,3,5:00,Forrest Petz vs. Luigi Fioravanti,4,Luigi Fioravanti,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Luigi Fioravanti,45,0,0,0,Welterweight,U-DEC,3,5:00,Forrest Petz vs. Luigi Fioravanti,4,Forrest Petz,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Tamdan McCrory,8,2,2,2,Welterweight,SUB  Triangle Choke,2,2:04,Tamdan McCrory vs. Pete Spratt,5,Pete Spratt,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Pete Spratt,19,0,0,5,Welterweight,SUB  Triangle Choke,2,2:04,Tamdan McCrory vs. Pete Spratt,5,Tamdan McCrory,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Gleison Tibau,3,0,1,2,Lightweight,SUB  Arm Triangle,1,1:52,Gleison Tibau vs. Jeff Cox,6,Jeff Cox,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Jeff Cox,0,1,0,0,Lightweight,SUB  Arm Triangle,1,1:52,Gleison Tibau vs. Jeff Cox,6,Gleison Tibau,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Anthony Johnson,3,0,0,0,Welterweight,KO/TKO  Punches,1,0:13,Anthony Johnson vs. Chad Reiner,7,Chad Reiner,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Chad Reiner,2,0,0,0,Welterweight,KO/TKO  Punches,1,0:13,Anthony Johnson vs. Chad Reiner,7,Anthony Johnson,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Nate Mohr,70,0,0,0,Lightweight,U-DEC,3,5:00,Nate Mohr vs. Luke Caudillo,8,Luke Caudillo,2007-06-12,UFC Fight Night: Stout vs Fisher
loss,Luke Caudillo,28,0,0,0,Lightweight,U-DEC,3,5:00,Nate Mohr vs. Luke Caudillo,8,Nate Mohr,2007-06-12,UFC Fight Night: Stout vs Fisher
win,Rampage Jackson,6,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:53,Rampage Jackson vs. Chuck Liddell,0,Chuck Liddell,2007-05-26,UFC 71: Liddell vs Jackson
loss,Chuck Liddell,4,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:53,Rampage Jackson vs. Chuck Liddell,0,Rampage Jackson,2007-05-26,UFC 71: Liddell vs Jackson
win,Karo Parisyan,54,2,0,0,Welterweight,U-DEC,3,5:00,Karo Parisyan vs. Joshua Burkman,1,Joshua Burkman,2007-05-26,UFC 71: Liddell vs Jackson
loss,Joshua Burkman,16,2,0,0,Welterweight,U-DEC,3,5:00,Karo Parisyan vs. Joshua Burkman,1,Karo Parisyan,2007-05-26,UFC 71: Liddell vs Jackson
win,Terry Martin,7,1,0,0,Middleweight,KO/TKO,1,2:04,Terry Martin vs. Ivan Salaverry,2,Ivan Salaverry,2007-05-26,UFC 71: Liddell vs Jackson
loss,Ivan Salaverry,5,0,0,0,Middleweight,KO/TKO,1,2:04,Terry Martin vs. Ivan Salaverry,2,Terry Martin,2007-05-26,UFC 71: Liddell vs Jackson
win,Houston Alexander,17,0,0,0,Light Heavyweight,KO/TKO  Punch,1,0:48,Houston Alexander vs. Keith Jardine,3,Keith Jardine,2007-05-26,UFC 71: Liddell vs Jackson
loss,Keith Jardine,5,0,0,0,Light Heavyweight,KO/TKO  Punch,1,0:48,Houston Alexander vs. Keith Jardine,3,Houston Alexander,2007-05-26,UFC 71: Liddell vs Jackson
win,Kalib Starnes,47,2,0,1,Middleweight,U-DEC,3,5:00,Kalib Starnes vs. Chris Leben,4,Chris Leben,2007-05-26,UFC 71: Liddell vs Jackson
loss,Chris Leben,44,0,0,1,Middleweight,U-DEC,3,5:00,Kalib Starnes vs. Chris Leben,4,Kalib Starnes,2007-05-26,UFC 71: Liddell vs Jackson
win,Thiago Silva,1,1,0,1,Light Heavyweight,KO/TKO,1,1:06,Thiago Silva vs. James Irvin,5,James Irvin,2007-05-26,UFC 71: Liddell vs Jackson
loss,James Irvin,3,0,1,0,Light Heavyweight,KO/TKO,1,1:06,Thiago Silva vs. James Irvin,5,Thiago Silva,2007-05-26,UFC 71: Liddell vs Jackson
win,Alan Belcher,0,0,1,0,Light Heavyweight,SUB  Guillotine Choke,1,0:53,Alan Belcher vs. Sean Salmon,6,Sean Salmon,2007-05-26,UFC 71: Liddell vs Jackson
loss,Sean Salmon,1,0,0,0,Light Heavyweight,SUB  Guillotine Choke,1,0:53,Alan Belcher vs. Sean Salmon,6,Alan Belcher,2007-05-26,UFC 71: Liddell vs Jackson
win,Din Thomas,10,1,2,3,Lightweight,SUB  Armbar,2,2:44,Din Thomas vs. Jeremy Stephens,7,Jeremy Stephens,2007-05-26,UFC 71: Liddell vs Jackson
loss,Jeremy Stephens,7,0,0,0,Lightweight,SUB  Armbar,2,2:44,Din Thomas vs. Jeremy Stephens,7,Din Thomas,2007-05-26,UFC 71: Liddell vs Jackson
win,Wilson Gouveia,18,0,1,2,Light Heavyweight,SUB  Guillotine Choke,1,3:06,Wilson Gouveia vs. Carmelo Marrero,8,Carmelo Marrero,2007-05-26,UFC 71: Liddell vs Jackson
loss,Carmelo Marrero,1,0,0,0,Light Heavyweight,SUB  Guillotine Choke,1,3:06,Wilson Gouveia vs. Carmelo Marrero,8,Wilson Gouveia,2007-05-26,UFC 71: Liddell vs Jackson
win,Gabriel Gonzaga,19,1,0,0,Heavyweight,KO/TKO  Kick,1,4:51,Gabriel Gonzaga vs. Mirko Cro Cop,0,Mirko Cro Cop,2007-04-21,UFC 70: Nations Collide
loss,Mirko Cro Cop,1,0,0,0,Heavyweight,KO/TKO  Kick,1,4:51,Gabriel Gonzaga vs. Mirko Cro Cop,0,Gabriel Gonzaga,2007-04-21,UFC 70: Nations Collide
win,Andrei Arlovski,28,0,0,0,Heavyweight,U-DEC,3,5:00,Andrei Arlovski vs. Fabricio Werdum,1,Fabricio Werdum,2007-04-21,UFC 70: Nations Collide
loss,Fabricio Werdum,23,0,0,0,Heavyweight,U-DEC,3,5:00,Andrei Arlovski vs. Fabricio Werdum,1,Andrei Arlovski,2007-04-21,UFC 70: Nations Collide
win,Michael Bisping,36,1,0,0,Light Heavyweight,KO/TKO  Punches,2,1:40,Michael Bisping vs. Elvis Sinosic,2,Elvis Sinosic,2007-04-21,UFC 70: Nations Collide
loss,Elvis Sinosic,8,0,2,2,Light Heavyweight,KO/TKO  Punches,2,1:40,Michael Bisping vs. Elvis Sinosic,2,Michael Bisping,2007-04-21,UFC 70: Nations Collide
win,Lyoto Machida,67,0,1,4,Light Heavyweight,U-DEC,3,5:00,Lyoto Machida vs. David Heath,3,David Heath,2007-04-21,UFC 70: Nations Collide
loss,David Heath,8,0,0,0,Light Heavyweight,U-DEC,3,5:00,Lyoto Machida vs. David Heath,3,Lyoto Machida,2007-04-21,UFC 70: Nations Collide
win,Cheick Kongo,64,0,1,0,Heavyweight,M-DEC,3,5:00,Cheick Kongo vs. Assuerio Silva,4,Assuerio Silva,2007-04-21,UFC 70: Nations Collide
loss,Assuerio Silva,13,6,0,5,Heavyweight,M-DEC,3,5:00,Cheick Kongo vs. Assuerio Silva,4,Cheick Kongo,2007-04-21,UFC 70: Nations Collide
win,Terry Etim,5,0,3,0,Lightweight,SUB  Guillotine Choke,1,4:48,Terry Etim vs. Matt Grice,5,Matt Grice,2007-04-21,UFC 70: Nations Collide
loss,Matt Grice,26,1,0,0,Lightweight,SUB  Guillotine Choke,1,4:48,Terry Etim vs. Matt Grice,5,Terry Etim,2007-04-21,UFC 70: Nations Collide
win,Junior Assuncao,29,0,2,3,Lightweight,SUB  Rear Naked Choke,2,1:55,Junior Assuncao vs. David Lee,6,David Lee,2007-04-21,UFC 70: Nations Collide
loss,David Lee,12,0,0,0,Lightweight,SUB  Rear Naked Choke,2,1:55,Junior Assuncao vs. David Lee,6,Junior Assuncao,2007-04-21,UFC 70: Nations Collide
loss,Victor Valimaki,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:44,Alessio Sakara vs. Victor Valimaki,7,Alessio Sakara,2007-04-21,UFC 70: Nations Collide
win,Alessio Sakara,6,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:44,Alessio Sakara vs. Victor Valimaki,7,Victor Valimaki,2007-04-21,UFC 70: Nations Collide
loss,Dennis Siver,2,1,0,1,Welterweight,SUB  Armbar,1,1:21,Jess Liaudin vs. Dennis Siver,8,Jess Liaudin,2007-04-21,UFC 70: Nations Collide
win,Jess Liaudin,1,0,1,0,Welterweight,SUB  Armbar,1,1:21,Jess Liaudin vs. Dennis Siver,8,Dennis Siver,2007-04-21,UFC 70: Nations Collide
win,Paul Taylor,78,0,0,0,Welterweight,KO/TKO  Kick,3,0:37,Paul Taylor vs. Edilberto de Oliveira,9,Edilberto de Oliveira,2007-04-21,UFC 70: Nations Collide
loss,Edilberto de Oliveira,46,0,0,0,Welterweight,KO/TKO  Kick,3,0:37,Paul Taylor vs. Edilberto de Oliveira,9,Paul Taylor,2007-04-21,UFC 70: Nations Collide
win,Matt Serra,20,0,0,1,Welterweight,KO/TKO  Punches,1,3:25,Matt Serra vs. Georges St-Pierre,0,Georges St-Pierre,2007-04-07,UFC 69: Shootout
loss,Georges St-Pierre,6,0,0,0,Welterweight,KO/TKO  Punches,1,3:25,Matt Serra vs. Georges St-Pierre,0,Matt Serra,2007-04-07,UFC 69: Shootout
win,Josh Koscheck,30,1,0,0,Welterweight,U-DEC,3,5:00,Josh Koscheck vs. Diego Sanchez,1,Diego Sanchez,2007-04-07,UFC 69: Shootout
loss,Diego Sanchez,12,0,0,0,Welterweight,U-DEC,3,5:00,Josh Koscheck vs. Diego Sanchez,1,Josh Koscheck,2007-04-07,UFC 69: Shootout
win,Roger Huerta,85,6,0,8,Lightweight,U-DEC,3,5:00,Roger Huerta vs. Leonard Garcia,2,Leonard Garcia,2007-04-07,UFC 69: Shootout
loss,Leonard Garcia,29,0,2,1,Lightweight,U-DEC,3,5:00,Roger Huerta vs. Leonard Garcia,2,Roger Huerta,2007-04-07,UFC 69: Shootout
win,Yushin Okami,28,4,2,5,Middleweight,U-DEC,3,5:00,Yushin Okami vs. Mike Swick,3,Mike Swick,2007-04-07,UFC 69: Shootout
loss,Mike Swick,28,0,0,1,Middleweight,U-DEC,3,5:00,Yushin Okami vs. Mike Swick,3,Yushin Okami,2007-04-07,UFC 69: Shootout
win,Kendall Grove,41,1,2,3,Middleweight,SUB  D'Arce Choke,2,4:42,Kendall Grove vs. Alan Belcher,4,Alan Belcher,2007-04-07,UFC 69: Shootout
loss,Alan Belcher,8,1,0,1,Middleweight,SUB  D'Arce Choke,2,4:42,Kendall Grove vs. Alan Belcher,4,Kendall Grove,2007-04-07,UFC 69: Shootout
win,Heath Herring,64,1,0,3,Heavyweight,U-DEC,3,5:00,Heath Herring vs. Brad Imes,5,Brad Imes,2007-04-07,UFC 69: Shootout
loss,Brad Imes,19,1,2,1,Heavyweight,U-DEC,3,5:00,Heath Herring vs. Brad Imes,5,Heath Herring,2007-04-07,UFC 69: Shootout
win,Thales Leites,56,3,4,11,Middleweight,U-DEC,3,5:00,Thales Leites vs. Pete Sell,6,Pete Sell,2007-04-07,UFC 69: Shootout
loss,Pete Sell,3,0,2,1,Middleweight,U-DEC,3,5:00,Thales Leites vs. Pete Sell,6,Thales Leites,2007-04-07,UFC 69: Shootout
win,Marcus Davis,6,3,1,5,Welterweight,SUB  Ankle Lock,2,2:57,Marcus Davis vs. Pete Spratt,7,Pete Spratt,2007-04-07,UFC 69: Shootout
loss,Pete Spratt,7,0,0,0,Welterweight,SUB  Ankle Lock,2,2:57,Marcus Davis vs. Pete Spratt,7,Marcus Davis,2007-04-07,UFC 69: Shootout
win,Luke Cummo,38,0,0,0,Welterweight,KO/TKO  Punches,2,2:45,Luke Cummo vs. Josh Haynes,8,Josh Haynes,2007-04-07,UFC 69: Shootout
loss,Josh Haynes,9,1,0,0,Welterweight,KO/TKO  Punches,2,2:45,Luke Cummo vs. Josh Haynes,8,Luke Cummo,2007-04-07,UFC 69: Shootout
win,Joe Stevenson,2,1,1,0,Lightweight,SUB  Guillotine Choke,1,0:27,Joe Stevenson vs. Melvin Guillard,0,Melvin Guillard,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Melvin Guillard,1,0,0,0,Lightweight,SUB  Guillotine Choke,1,0:27,Joe Stevenson vs. Melvin Guillard,0,Joe Stevenson,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Justin McCully,21,3,0,1,Heavyweight,U-DEC,3,5:00,Justin McCully vs. Antoni Hardonk,1,Antoni Hardonk,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Antoni Hardonk,26,0,1,0,Heavyweight,U-DEC,3,5:00,Justin McCully vs. Antoni Hardonk,1,Justin McCully,2007-04-05,UFC Fight Night: Stevenson vs Guillard
