WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
draw  draw,Melinda Fabian,49,0,0,0,Women's Flyweight,M-DEC,3,5:00,DeAnna Bennett vs. Melinda Fabian,4,DeAnna Bennett,2017-12-01,The Ultimate Fighter 26 Finale
win,Brett Johns,1,0,1,0,Bantamweight,SUB  Other - Lock,1,0:30,Brett Johns vs. Joe Soto,5,Joe Soto,2017-12-01,The Ultimate Fighter 26 Finale
loss,Joe Soto,0,0,0,0,Bantamweight,SUB  Other - Lock,1,0:30,Brett Johns vs. Joe Soto,5,Brett Johns,2017-12-01,The Ultimate Fighter 26 Finale
win,Montana De La Rosa,6,0,1,0,Women's Flyweight,SUB  Armbar,1,2:00,Montana De La Rosa vs. Christina Marks,6,Christina Marks,2017-12-01,The Ultimate Fighter 26 Finale
loss,Christina Marks,10,1,0,0,Women's Flyweight,SUB  Armbar,1,2:00,Montana De La Rosa vs. Christina Marks,6,Montana De La Rosa,2017-12-01,The Ultimate Fighter 26 Finale
win,Ryan Janes,159,0,0,0,Middleweight,KO/TKO  Punch,3,0:58,Ryan Janes vs. Andrew Sanchez,7,Andrew Sanchez,2017-12-01,The Ultimate Fighter 26 Finale
loss,Andrew Sanchez,96,3,0,0,Middleweight,KO/TKO  Punch,3,0:58,Ryan Janes vs. Andrew Sanchez,7,Ryan Janes,2017-12-01,The Ultimate Fighter 26 Finale
loss,Karine Gevorgyan,2,0,0,0,Women's Flyweight,SUB  Armbar,1,1:40,Rachael Ostovich vs. Karine Gevorgyan,8,Rachael Ostovich,2017-12-01,The Ultimate Fighter 26 Finale
win,Rachael Ostovich,3,1,1,1,Women's Flyweight,SUB  Armbar,1,1:40,Rachael Ostovich vs. Karine Gevorgyan,8,Karine Gevorgyan,2017-12-01,The Ultimate Fighter 26 Finale
loss,Ariel Beck,35,0,0,0,Women's Flyweight,KO/TKO  Punch,2,2:53,Shana Dobson vs. Ariel Beck,9,Shana Dobson,2017-12-01,The Ultimate Fighter 26 Finale
win,Shana Dobson,34,0,0,0,Women's Flyweight,KO/TKO  Punch,2,2:53,Shana Dobson vs. Ariel Beck,9,Ariel Beck,2017-12-01,The Ultimate Fighter 26 Finale
win,Gillian Robertson,2,1,1,2,Women's Flyweight,SUB  Armbar,1,2:12,Gillian Robertson vs. Emily Whitmire,10,Emily Whitmire,2017-12-01,The Ultimate Fighter 26 Finale
loss,Emily Whitmire,9,0,0,0,Women's Flyweight,SUB  Armbar,1,2:12,Gillian Robertson vs. Emily Whitmire,10,Gillian Robertson,2017-12-01,The Ultimate Fighter 26 Finale
